"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","prix"
"C1,C2,C4","3","18pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","kicad-embed://4387992.pdf",""
"C3","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","kicad-embed://4387992.pdf","0,104 €"
"C5","1","1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","kicad-embed://VISH-S-A0002281208-1.pdf","0,698 €"
"C6,C7,C8,C9,C10","5","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","kicad-embed://VISH-S-A0002281208-1 (1).pdf","1.194"
"D1","1","10pF","","","","Diode_SMD:D_SOD-323","kicad-embed://4000099.pdf","0,268 €"
"J1","1","USB_OTG","","","","Connector_USB:USB_Micro-B_Molex-105017-0001","kicad-embed://MOLE-S-A0011123383-1.pdf"," 1,120 €"
"J2","1","Conn_Coaxial","","","","Connector_Coaxial:SMA_Amphenol_132134-14_Vertical","~",""
"J3","1","Conn_01x02_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",""
"R1,R5","2","22","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","kicad-embed://560112120025.pdf","0.075€"
"R2,R3,R4","3","5k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","kicad-embed://560112120024.pdf","1.5€"
"SW1,SW2","2","~","","","","Button_Switch_THT:SW_PUSH_6mm","~",""
"TP1","1","TestPoint","","","","TestPoint:TestPoint_Pad_D2.0mm","~",""
"U1","1","ATmega16U4-M","","","","Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf","4,72 €"
"U2","1","LMH6611","","","","Package_TO_SOT_SMD:TSOT-23-6","http://www.ti.com/lit/ds/symlink/lmh6612.pdf",""
"Y1","1","Crystal","","","","Crystal:Crystal_HC49-U_Vertical","~",""
